Id	Character	Name	Ability Element	Ability Pot. %	Ability Range	Ability Type	Command ATB	Command Sigil	Effect0	Effect0_Condition	Effect0_Duration	Effect0_EffectCount	Effect0_Extend	Effect0_Pot	Effect0_PotMax	Effect0_Range	Effect0_Type	Effect1	Effect1_Condition	Effect1_Duration	Effect1_EffectCount	Effect1_Extend	Effect1_Pot	Effect1_PotMax	Effect1_Range	Effect1_Type	Effect2	Effect2_Condition	Effect2_Duration	Effect2_EffectCount	Effect2_Extend	Effect2_Pot	Effect2_PotMax	Effect2_Range	Effect2_Type	Effect3	Effect3_Condition	Effect3_Duration	Effect3_EffectCount	Effect3_Extend	Effect3_Pot	Effect3_Range	Effect3_Type	GachaType	MateriaSupport0	MateriaSupport1	MateriaSupport2
4020	Aerith	Snowflake	Ice	540.0	Single Enemy	Mag	4		MDEF Down		30		10	Mid	High	Single Enemy	BuffDebuff																											Featured	ATK Boost I	MATK Boost I	All (Cure Spells) I
4021	Aerith	Ramuh's Staff	Lightning	480.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
4022	Aerith	Garnet's Rod	Heal	14.0	Single Ally	Mag	3		MATK Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
4023	Aerith	Egg Staff	Fire	630.0	All Enemies	Mag	4		Multiply damage	Against a single target				130.0%		All Enemies	AdditionalEffect																											Featured	MATK Boost I	MATK Boost I	All (Cure Spells) I
4024	Aerith	Dawn's Prayers	None	360.0	Single Enemy	Mag	4		PDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	MATK Boost I
4025	Aerith	Kamura Wand	Heal	8.0	All Allies	Mag	4		PATK Up		20		6	High	High	All Allies	BuffDebuff	MDEF Up	When HP is greater than 70.0%	20		6	High	High	All Allies	BuffDebuff																		Limited	MATK Boost I	HEAL Boost I	All (Cure Spells) I
4026	Aerith	Radrod	Water	290.0	All Enemies	Mag	4																																					Event	MATK Boost I	MATK Boost I	MATK Boost I
4027	Aerith	Hell House Rod	Ice	290.0	All Enemies	Mag	4																																					Event	MATK Boost I	MATK Boost I	MATK Boost I
4028	Aerith	Citric Wand	Heal	10.0	Single Ally	Mag	3		Ice Damage Up		30		10	High	High	Single Ally	BuffDebuff	MATK Up	When HP is greater than 50.0%	30		10	Mid	High	Single Ally	BuffDebuff																		Featured	MATK Boost I	ATK Boost (Ice) I	◯ Circle Sigil Boost I (+2)
4029	Aerith	Bahamut Rod	Heal	60.0	All Allies	Mag	5		PDEF Up		20		5	Mid	Mid	All Allies	BuffDebuff	ATB+1	When HP is less than 90.0%						Other Allies	AtbChangeEffect																		Limited	MATK Boost I	HEAL Boost I	All (Esuna) I
4030	Aerith	Ultimate Guard Stick	Heal	51.0	All Allies	Mag	0		Regen		4	0	3	30.0%		All Allies	StatusChangeEffect	Removes PATK Down, MATK Down							All Allies	CancelEffect																		Ultimate			
4031	Aerith	Terra's Rod	None	750.0	All Enemies	Mag	4		Fire Resistance Down		35		11	High	High	All Enemies	BuffDebuff	Ice Resistance Down		35		11	High	High	All Enemies	BuffDebuff	Lightning Resistance Down		35		11	High	High	All Enemies	BuffDebuff	Crit Rate					10.0%	All Enemies	AdditionalEffect	Limited	MATK Boost I	MATK Boost I	All (Cure Spells) I
4032	Aerith	Titan Rod	Earth	450.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
4033	Aerith	Crimson Staff	None	750.0	All Enemies	Mag	4		MATK Up		20		6	High	High	All Allies	BuffDebuff	MDEF Down	When HP is greater than 70.0%	35		11	High	High	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect									Limited	MATK Boost I	HEAL Boost I	All (Cure Spells) I
4034	Aerith	Gambanteinn	Heal	60.0	All Allies	Mag	5		PATK Up		16		5	Mid	High	All Allies	BuffDebuff	ATB+1	When HP is less than 90.0%						Other Allies	AtbChangeEffect																		Limited	PATK Boost I	HEAL Boost I	◯ Circle Sigil Boost I (+2)
4035	Aerith	Noblesse Rod	None	360.0	Single Enemy	Mag	4		PATK Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	MATK Boost I
4036	Aerith	Princess Guard	Heal	30.0% of max HP	All Allies	Mag	0		ATB+3							All Allies	AtbChangeEffect																											Ultimate			
4038	Aerith	Mermaid Rod	Heal	8.0	All Allies	Mag	4		PATK Up		25		8	Mid	High	All Allies	BuffDebuff	Lightning Damage Up		25		8	Mid	High	All Allies	BuffDebuff																		Featured	MATK Boost I	HEAL Boost I	◯ Circle Sigil Boost I (+2)
4039	Aerith	Supreme Sage's Staff	None	890.0	All Enemies	Mag	4		Deals Fixed Additional Damage					80000		All Enemies	AdditionalEffect	Exploit Weakness	When HP is greater than 70.0%	60	0	12	30.0%		All Allies	StatusChangeEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect	Decreases Summon Gauge					-100.0%	Self	SpecialGaugeChangeEffect	Limited	MATK Boost I	HEAL Boost I	All (Cure Spells) I
4040	Aerith	Team Leader's Bamboo Sword	Water	530.0	All Enemies	Mag	4		Multiply damage	When debuff is on target				140.0%		All Enemies	AdditionalEffect	Water Damage Up	When HP is greater than 50.0%	25		8	High	High	All Allies	BuffDebuff																		Limited	MATK Boost I	HEAL Boost I	◯ Circle Sigil Boost I (+2)
4041	Aerith	Magatsuchi Rod	None	360.0	Single Enemy	Mag	4		MATK Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
4042	Aerith	Lightning's Rod	Heal	8.0	All Allies	Mag	4		Mag. Damage Bonus		60	0	20	30.0%		All Allies	StatusChangeEffect	PDEF Up	When HP is greater than 70.0%	25		8	High	High	All Allies	BuffDebuff	Increases Command Gauge	On first use				75.0%		Self	TacticsGaugeChangeEffect									Limited	MATK Boost I	HEAL Boost I	All (Cure Spells) I
4043	Aerith	Staff of the Possessed	None	920.0	All Enemies	Phys	4		Water Weapon Boost		60	0	20	35.0%		All Allies	StatusChangeEffect	Water Resistance Down	When HP is greater than 70.0%	30		10	High	High	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect									Limited	PATK Boost I	HEAL Boost I	All (Cure Spells) I
4044	Aerith	Abraxas	None	1000.0	All Enemies	Both	0		Applied Stats Debuff Tier Increased				30	Mid	Extra High	All Enemies	BuffDebuffEnhance	Haste		20	0	20	0.0%		All Allies	StatusChangeEffect																		Ultimate			
4045	Aerith	Rousing Wizer Staff	Heal	8.0	All Allies	Mag	4		PATK Up		20		6	Mid	High	All Allies	BuffDebuff	MDEF Up	When HP is greater than 70.0%	20		6	High	High	All Allies	BuffDebuff																		Event	MATK Boost I	HEAL Boost I	All (Cure Spells) I
5001	Red XIII	Sleek Collar	Heal	7.0	All Allies	Mag	4		MDEF Up		14		4	High	High	All Allies	BuffDebuff																											Featured	ATK Boost I	MATK Boost I	Buff/Debuff Extension I
5004	Red XIII	Silver Collar	None	320.0	Single Enemy	Phys	3	◊ Diamond	Wind Resistance Down		24		8	High	High	Single Enemy	BuffDebuff	Water Resistance Down	When HP is greater than 50.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	ATK Boost I	ATK Boost (Wind) I	All (Cure Spells) I
5005	Red XIII	Gold Collar	None	350.0	All Enemies	Mag	4		Crit Rate					10.0%		All Enemies	AdditionalEffect	MDEF Down		25		8	Mid	Mid	All Enemies	BuffDebuff																		Featured	ATK Boost I	ATK Boost I	MATK Boost I
5009	Red XIII	Platinum Collar	Heal	11.0	All Allies	Mag	5		Regen		18	0	6	30.0%		All Allies	StatusChangeEffect																											Featured	ATK Boost I	MATK Boost I	Buff/Debuff Extension I
5016	Red XIII	Noble Collar	Water	520.0	All Enemies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	✕ Cross Sigil Boost I (+2)
5017	Red XIII	Ivy Collar	None	420.0	Single Enemy	Phys	3		Fire Resistance Down		24		8	High	High	Single Enemy	BuffDebuff	Ice Resistance Down		24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	ATK Boost I	ATK Boost (Ice) I	ATK Boost (Fire) I
5018	Red XIII	Rage Collar	Fire	750.0	Single Enemy	Phys	4																																					Featured	ATK Boost I	ATK Boost I	ATK Boost I
5019	Red XIII	Leather Collar	None	940.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	PATK Boost I	PATK Boost I	HEAL Boost I
5020	Red XIII	Rubber Collar	Heal	115.0	Single Ally	Mag	5																																					Featured	ATK Boost I	ATK Boost I	MATK Boost I
5021	Red XIII	Junk Collar	None	510.0	Single Enemy	Phys	4		MATK Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	ATK Boost I	PATK Boost I	PATK Boost I
5023	Red XIII	Canyon Collar	Wind	500.0	All Enemies	Mag	4		MDEF Down	When HP is greater than 50.0%	30		10	Mid	High	All Enemies	BuffDebuff																											Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
5024	Red XIII	Pilot's Collar	Heal	60.0	All Allies	Mag	5		MDEF Up		14		4	Mid	High	All Allies	BuffDebuff																											Featured	MATK Boost I	MATK Boost I	HEAL Boost I
5026	Red XIII	Iron Collar	None	360.0	Single Enemy	Mag	4		PDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	PATK Boost I
5027	Red XIII	Headphones	None	540.0	All Enemies	Mag	4		Removes MDEF Up							All Enemies	CancelEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	MATK Boost I	MATK Boost I	All (Cure Spells) I
5028	Red XIII	Seaside Collar	None	510.0	Single Enemy	Phys	4		Lightning Resistance Down		21		7	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect	Regen		4	0	3	30.0%		Self	StatusChangeEffect									Featured	ATK Boost I	ATK Boost I	△ Triangle Boost I (+2)
5031	Red XIII	Hell House Collar	None	360.0	Single Enemy	Mag	4		MDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	MATK Boost I
5032	Red XIII	Flame Dragon's Band	None	360.0	Single Enemy	Mag	4		Fire Resistance Down		28		9	Mid	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Grindable	ATK Boost I	ATK Boost I	MATK Boost I
5033	Red XIII	Egg Collar	Fire	290.0	All Enemies	Mag	4																																					Event	MATK Boost I	MATK Boost I	MATK Boost I
5034	Red XIII	Amethyst Collar	Ice	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
5035	Red XIII	Steward Collar	None	360.0	Single Enemy	Mag	4		PATK Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	MATK Boost I
5036	Red XIII	Ultimate Leather Collar	Heal	27.0	All Allies	Mag	0		Regen		12	0	12	30.0%		All Allies	StatusChangeEffect																											Ultimate			
5037	Red XIII	Kefka's Collar	Lightning	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
5038	Red XIII	Brilliant Collar	Heal	8.0	All Allies	Mag	4		MATK Up		25		8	Mid	High	All Allies	BuffDebuff	Wind Damage Up	When HP is greater than 70.0%	25		8	Mid	High	All Allies	BuffDebuff																		Featured	MATK Boost I	MATK Boost I	All (Cure Spells) I
5040	Red XIII	Pirate Collar	Heal	60.0	All Allies	Mag	5		MATK Up		25		8	Mid	High	All Allies	BuffDebuff	Lightning Damage Up	When HP is greater than 70.0%	25		8	Mid	High	All Allies	BuffDebuff	ATB+1	When HP is less than 90.0%						Other Allies	AtbChangeEffect									Limited	MATK Boost I	HEAL Boost I	All (Esuna) I
5041	Red XIII	Limited Moon	Heal	111.0	All Allies	Mag	0		Exploit Weakness		60	0	60	40.0%		All Allies	StatusChangeEffect																											Ultimate			
5042	Red XIII	Great Sabrecat Collar	Lightning	440.0	All Enemies	Mag	3		PDEF Down		24		8	Mid	Mid	All Enemies	BuffDebuff	MDEF Down		24		8	Mid	Mid	All Enemies	BuffDebuff																		Event	ATK Boost I	MATK Boost I	MATK Boost I
5043	Red XIII	Tsviet Collar	None	240.0	All Enemies	Mag	4		Wind Resistance Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
5044	Red XIII	Patissier's Collar	None	920.0	All Enemies	Phys	4		Status Ailment: Enfeeble		40		13			All Enemies	StatusConditionEffect	Mag. Weapon Boost	When HP is greater than 70.0%	40	0	13	35.0%		All Allies	StatusChangeEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect									Featured	PATK Boost I	HEAL Boost I	△ Triangle Boost I (+2)
6001	Yuffie	4-Point Shuriken	None	350.0	All Enemies	Phys	4		PATK Down		25		8	Mid	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Featured	ATK Boost I	PATK Boost I	PATK Boost I
6002	Yuffie	Boomerang	None	510.0	Single Enemy	Phys	4		Fire Resistance Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	PATK Boost I	PATK Boost I	PATK Boost I
6003	Yuffie	Pinwheel	None	510.0	Single Enemy	Phys	4		Ice Resistance Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	PATK Boost I	PATK Boost I	PATK Boost I
6004	Yuffie	Razor Ring	Earth	520.0	All Enemies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
6005	Yuffie	Hawkeye	Earth	850.0	Single Enemy	Phys	4		Multiply damage	When HP is greater than 70.0%				120.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
6006	Yuffie	Crystal Cross	Heal	14.0	Single Ally	Mag	4		MATK Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Featured	ATK Boost I	MATK Boost I	MATK Boost I
6007	Yuffie	Wind Slash	None	510.0	Single Enemy	Phys	4		Lightning Resistance Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	PATK Boost I	PATK Boost I	ATK Boost (Lightning) I
6008	Yuffie	Twin Viper	None	510.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect	Status Ailment: Poison		30		7			Single Enemy	StatusConditionEffect																		Featured	ATK Boost I	PATK Boost I	MATK Boost I
6009	Yuffie	Spiral Shuriken	Ice	800.0	Single Enemy	Phys	4																																					Featured	ATK Boost I	PATK Boost I	PATK Boost I
6010	Yuffie	Magic Shuriken	Wind	520.0	All Enemies	Phys	4																																					Featured	ATK Boost I	PATK Boost I	PATK Boost I
6014	Yuffie	Diner Tray	Wind	850.0	Single Enemy	Phys	4																																					Featured	ATK Boost I	PATK Boost I	PATK Boost I
6015	Yuffie	Arctic Star	Heal	14.0	Single Ally	Mag	4		PATK Up		30		10	High	High	Single Ally	BuffDebuff	PATK Up		30		10	Mid	High	Self	BuffDebuff																		Featured	ATK Boost I	PATK Boost I	PATK Boost I
6016	Yuffie	Bamboo Ring	None	500.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Event	ATK Boost I	MATK Boost I	MATK Boost I
6019	Yuffie	Little Red Wreath	Ice	940.0	Single Enemy	Mag	4		Multiply damage	When debuff is on target				120.0%		Single Enemy	AdditionalEffect																											Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
6022	Yuffie	Chariot Wheel	Water	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
6024	Yuffie	Leviathan Cutter	Water	450.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
6026	Yuffie	Striped Moogle Float	Fire	700.0	All Enemies	Phys	4		Fire Damage Up	When HP is greater than 50.0%	35		7	Low	High	Self	BuffDebuff																											Featured	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
6027	Yuffie	Cactuar Fan	Ice	290.0	All Enemies	Mag	4																																					Event	MATK Boost I	MATK Boost I	MATK Boost I
6028	Yuffie	Bahamut Cutter	None	1080.0	Single Enemy	Phys	4		MDEF Up		25		8	Mid	High	All Allies	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect	Multiply damage	When debuff is on target				130.0%		Single Enemy	AdditionalEffect									Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
6029	Yuffie	Ultimate 4-Point Shuriken	None	1000.0	Single Enemy	Both	0		PATK Up		30		30	High	High	Self	BuffDebuff	MATK Up		30		30	High	High	Self	BuffDebuff																		Ultimate			
6030	Yuffie	Holiday Bell	Wind	620.0	Single Enemy	Mag	4		Wind Resistance Down		30		10	Low	High	Single Enemy	BuffDebuff	MDEF Down		30		10	Low	High	Single Enemy	BuffDebuff																		Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
6031	Yuffie	Mallet of Luck	None	250.0	All Enemies	Mag	4		Fire Resistance Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
6032	Yuffie	Conformer	None	2000.0	Single Enemy	Both	0		PDEF Down		30		30	High	High	Single Enemy	BuffDebuff	MDEF Down		30		30	High	High	Single Enemy	BuffDebuff	ATB+7							Self	AtbChangeEffect									Ultimate			
6033	Yuffie	Bird of Prey	Water	940.0	Single Enemy	Phys	4		Exploit Weakness		45	0	9	30.0%		Self	StatusChangeEffect																											Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
6034	Yuffie	Risanautr	None	360.0	Single Enemy	Mag	4		Earth Resistance Down		28		9	Mid	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	MATK Boost I
6035	Yuffie	Watch of the Hunt	Lightning	540.0	All Enemies	Mag	4		PATK Down		30		10	Mid	High	All Enemies	BuffDebuff	PDEF Up	When HP is greater than 70.0%	20		6	Mid	High	All Allies	BuffDebuff																		Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
6036	Yuffie	Rocker's Guitar	Ice	600.0	Single Enemy	Mag	4		Exploit Weakness	When HP is greater than 50.0%	40	0	13	30.0%		All Allies	StatusChangeEffect	Increases Command Gauge					20.0%		Self	TacticsGaugeChangeEffect																		Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
6037	Yuffie	Striped Moogle Flag	None	360.0	Single Enemy	Mag	4		MATK Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	MATK Boost I
6038	Yuffie	Uber 4-Point Shuriken	Earth	1340.0	Single Enemy	Mag	4		Earth Damage Bonus		25	0	8	30.0%		All Allies	StatusChangeEffect																											Limited	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
6039	Yuffie	Fatum Ex Machina	None	1340.0	Single Enemy	Phys	4		Status Ailment: Enfeeble		60		20			Single Enemy	StatusConditionEffect	PATK Down		60		20	High	High	Single Enemy	BuffDebuff	Earth Resistance Down	When HP is greater than 70.0%	60		20	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%	Single Enemy	AdditionalEffect	Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
6040	Yuffie	Heirloom Brush	None	1340.0	Single Enemy	Mag	4		Phys. ATB Conservation Effect		40	0	13	0.0%		Self	StatusChangeEffect	Mag. ATB Conservation Effect		40	0	13	0.0%		Self	StatusChangeEffect	Applied Stats Buff Tier Increased				10	Low	Extra High	All Allies	BuffDebuffEnhance	Crit Rate					10.0%	Single Enemy	AdditionalEffect	Limited	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
6041	Yuffie	Winged Chakram	Lightning	1340.0	Single Enemy	Phys	4		PDEF Down		25		8	Mid	High	Single Enemy	BuffDebuff	Lightning Damage Up	When debuff is on target	25		8	Mid	High	All Allies	BuffDebuff	ATB+2	On first use						All Allies	AtbChangeEffect									Featured	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
6043	Yuffie	Rising Sun	None	2000.0	Single Enemy	Both	0		Exploit Weakness		30	0	30	60.0%		Self	StatusChangeEffect	ATB+3							All Allies	AtbChangeEffect																		Ultimate			
7001	Cait Sith	Yellow Megaphone	None	700.0	Single Enemy	Phys	5		Crit Rate					30.0%		Single Enemy	AdditionalEffect	Multiply damage	When hitting critical				300.0%		Single Enemy	AdditionalEffect																		Featured	ATK Boost I	PATK Boost I	PATK Boost I
7002	Cait Sith	Green Megaphone	Water	620.0	Single Enemy	Mag	4		Water Resistance Down	When HP is greater than 50.0%	30		10	High	High	Single Enemy	BuffDebuff																											Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
7003	Cait Sith	Blue Megaphone	Ice	520.0	All Enemies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
7004	Cait Sith	Red Megaphone	Fire	520.0	All Enemies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
7005	Cait Sith	Crystal Megaphone	Heal	14.0	Single Ally	Mag	4		PDEF Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Featured	MATK Boost I	MATK Boost I	MATK Boost I
7008	Cait Sith	Silver Megaphone	None	510.0	Single Enemy	Phys	4		Crit Rate					20.0%		Single Enemy	AdditionalEffect	PDEF Down		30		10	Low	Low	Single Enemy	BuffDebuff	PDEF Down	When hitting critical	30		10	High	High	Single Enemy	BuffDebuff									Featured	ATK Boost I	ATK Boost I	ATK Boost I
7009	Cait Sith	Gold Megaphone	None	510.0	Single Enemy	Phys	4		Crit Rate					20.0%		Single Enemy	AdditionalEffect	Fire Resistance Down		25		8	High	High	Single Enemy	BuffDebuff	MATK Down	When hitting critical	60		20	High	High	Single Enemy	BuffDebuff									Featured	ATK Boost I	PATK Boost I	PATK Boost I
7010	Cait Sith	Battle Trumpet	None	350.0	All Enemies	Phys	4		Crit Rate					20.0%		All Enemies	AdditionalEffect	MATK Down		25		8	Mid	Mid	All Enemies	BuffDebuff	PATK Down	When hitting critical	60		20	High	High	All Enemies	BuffDebuff									Featured	ATK Boost I	ATK Boost I	PATK Boost I
7011	Cait Sith	Trumpet Shell	Heal	8.0	All Allies	Mag	4		PATK Up		20		6	Mid	Mid	All Allies	BuffDebuff	MATK Up		20		6	Mid	Mid	All Allies	BuffDebuff																		Event	PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
7014	Cait Sith	Marching Horn	Heal	14.0	Single Ally	Mag	4		PATK Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Featured	PATK Boost I	PATK Boost I	PATK Boost I
7015	Cait Sith	Nocturne Horn	Wind	780.0	All Enemies	Mag	4		Wind Resistance Down		25		8	Mid	High	All Enemies	BuffDebuff	MDEF Down		25		8	Mid	High	All Enemies	BuffDebuff																		Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost II (+4)
7017	Cait Sith	Cool Cat's Megaphone	Lightning	710.0	Single Enemy	Phys	4		Status Ailment: Enfeeble		60		12			Single Enemy	StatusConditionEffect	PATK Up	When HP is greater than 50.0%	20		6	Mid	High	All Allies	BuffDebuff																		Limited	ATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
7019	Cait Sith	Witch's Broom	None	420.0	Single Enemy	Phys	3		MDEF Down		24		8	Mid	Mid	Single Enemy	BuffDebuff	Lightning Resistance Down	When HP is greater than 50.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	PATK Boost I	ATK Boost (Lightning) I	◯ Circle Sigil Boost I (+2)
7022	Cait Sith	Flower Vase	Heal	14.0	Single Ally	Mag	4		MATK Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect	Haste		20	0	5	0.0%		Single Ally	StatusChangeEffect									Featured	MATK Boost I	MATK Boost I	MATK Boost I
7023	Cait Sith	Catsmegaphone	Heal	14.0	Single Ally	Mag	4		PATK Up		44		14	Low	Mid	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Event	PATK Boost I	PATK Boost I	PATK Boost I
7024	Cait Sith	Humus Megaphone	Wind	290.0	All Enemies	Mag	4																																					Event	MATK Boost I	MATK Boost I	MATK Boost I
7025	Cait Sith	Fireworks Megaphone	Ice	290.0	All Enemies	Mag	4																																					Event	MATK Boost I	MATK Boost I	MATK Boost I
7026	Cait Sith	Alba Megaphone	None	390.0	All Enemies	Phys	4		Crit Rate					10.0%		All Enemies	AdditionalEffect																											Event	PATK Boost I	PATK Boost I	PATK Boost I
7027	Cait Sith	Icebolt Megaphone	None	340.0	Single Enemy	Mag	4		Ice Resistance Down		25		8	Mid	Mid	Single Enemy	BuffDebuff	Lightning Resistance Down		25		8	Mid	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Grindable	ATK Boost I	MATK Boost I	MATK Boost I
7028	Cait Sith	Ultimate Yellow Megaphone	Heal	5.0	Single Ally	Mag	0		Increases Limit Gauge					30.0%		Single Ally	SpecialGaugeChangeEffect																											Ultimate			
7029	Cait Sith	Quina Megaphone	Heal	8.0	All Allies	Mag	4		PATK Up		20		6	High	High	All Allies	BuffDebuff	PDEF Up	When HP is greater than 70.0%	20		6	High	High	All Allies	BuffDebuff																		Event	PATK Boost I	ATK Boost (Wind) I	◯ Circle Sigil Boost I (+2)
7031	Cait Sith	Stilva Megaphone	None	250.0	All Enemies	Mag	4		Ice Resistance Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
7032	Cait Sith	HP Shout	None	1000.0	Single Enemy	Both	0		Haste		20	0	20	0.0%		All Allies	StatusChangeEffect																											Ultimate			
7033	Cait Sith	Spirit Demon Megaphone	None	250.0	All Enemies	Mag	4		PATK Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
8001	Vincent	Transgressor	Wind	1340.0	Single Enemy	Phys	4		Phys. Weapon Boost		40	0	13	30.0%		Self	StatusChangeEffect	Exploit Weakness	When HP is greater than 70.0%	40	0	13	30.0%		Self	StatusChangeEffect																		Featured	PATK Boost I	PATK Boost I	✕ Cross Sigil Boost I (+2)
8002	Vincent	Cath Palug	Ice	520.0	All Enemies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
